ARTICOLO;DESCRIZIONE;Q.TA
11191;CHARM CAMPANELLA MARE;1,00
06559;CHARM MARGHERITA;1,00
06204;CHARM MARGHERITA;1,00
06297;CHARM MARGHERITA GRANDE;1,00
08641;CHARM GUANTONE;1,00
09106;SACCA DA GOLF;1,00
09105;CHARM BERRETTO;1,00
06463;CHARM MORSO;1,00
06468;CHARM CAP;1,00
06467;CHARM COCCARDA;1,00
06466;CHARM STIVALE;1,00
06464;CHARM STAFFA;1,00
08896;CHARM VELA;1,00
06030;CHARM SCARPETTA;1,00
06029;CHARM PESI;1,00
09510;CHARM FORMULA 1;1,00
06026;CHARM CASCO;1,00
08875;CHARM GHIANDA;1,00
10197;CHARM PIGNA;1,00
10017;CHARM UVA;1,00
10016;CHARM FOGLIA QUERCIA;1,00
10015;CHARM FOGLIA GINKGO;1,00
10014;CHARM FOGLIA GERANIO;1,00
10012;CHARM FOGLIA FICO;1,00
10011;CHARM FOGLIA UVA;1,00
07762;CHARM FIORI D'ARANCIO;1,00
07761;CHARM GIGLIO;1,00
07760;CHARM FIOR DI LOTO;1,00
07759;CHARM NARCISO;1,00
07758;CHARM TULIPANO;1,00
07757;CHARM CALLA;1,00
07756;CHARM CAMOMILLA;1,00
07755;CHARM ROSA;1,00
09458;CHARM 20 LIRE;1,00
09457;CHARM 10 LIRE;1,00
09456;CHARM 5 LIRE;1,00
09455;CHARM 2 LIRE;1,00
09454;CHARM 1 LIRA;1,00
06343;CHARM FIOCCO DI NEVE;1,00
10207;CHARM FUNGO PORCINO;1,00
10206;CHARM FUNGHI;1,00
09661;CHARM FUNGHETTO;1,00
10023;CHARM CILIEGIE;1,00
10022;CHARM ANANAS;1,00
10021;CHARM MELAGRANA;1,00
10020;CHARM MELA;1,00
10019;CHARM PERA;1,00
10018;CHARM FRAGOLA;1,00
10013;CHARM FOGLIA EDERA;1,00
06903;CHARM MEDAGLIA LIBERTY;1,00
06902;CHARM MEDAGLIA CARRI ARMATI;1,00
06901;CHARM MEDAGLIA MEDUSA CONTRAEREA;1,00
06900;CHARM IMPERATORE PICCOLA;1,00
06899;CHARM IMPERATORE GRANDE;1,00
06898;CHARM CORNUCOPIA;1,00
06897;CHARM AMULETI;1,00
06896;CHARM VELIERO;1,00
07159;CHARM VITTORIO EMANUELE;1,00
07158;CHARM NEDERLAND;1,00
07157;CHARM 5 FRANCHI;1,00
07766;CHARM MONETA;1,00
09453;CHARM GIGLIO DI FIRENZE;1,00
09452;CHARM STEMMA MEDICEO;1,00
09460;CHARM 100 LIRE;1,00
09459;CHARM 50 LIRE;1,00
09211;BRACCIALE BASE CUORE cm 20;2,00
09778;MEDAGLIA ROMA;1,00
09777;MEDAGLIA NAPOLEONE;1,00
09626;CHARM CRETA;1,00
09625;CHARM LUPA;1,00
09624;CHARM ARIONE;1,00
09623;CHARM FLORENTIA;1,00
09622;CHARM CAMILLUS;1,00
09621;CHARM ATHENA;1,00
09620;CHARM SPARTACUS;1,00
09619;CHARM AUGUSTUS;1,00
06473;CHARM CENT;1,00
06472;CHARM PESETA;1,00
06471;CHARM FRANCO;1,00
06470;CHARM QUARTER;1,00
06904;CHARM MEDAGLIA ARTIGLIERI A CAVALLO;1,00
08662;CHARM CONVERSE;1,00
08731;CHARM BALLERINA;1,00
08730;CHARM SANDALO;1,00
08729;CHARM ROSSETTO;1,00
08725;CHARM FERMAGLIO;1,00
07649;CHARM GUFO PICCOLO;2,00
08058;CHARM AMORINO SU CUORE;2,00
10700;ORECCHINI HUGGIE BASE CHARMS;2,00
09454;CHARM 1 LIRA;2,00
09462;CHARM CUORE FARFALLE;1,00
09465;CHARM CUORE MARGHERITE;1,00
09467;CUORE MIMOSA;2,00
09523;CHARM LIBELLULA;1,00
09644;CHARM RONDINE;1,00
10440;CHARM PALLONE CALCIO;1,00
09207;BRACCIALE BASE ROULETTE cm 20;6,00
09859;CHARM SMARTPHONE;1,00
09860;CHARM CARTA DI CREDITO;1,00
09857;CHARM CAPPELLINO;1,00
08735;CHARM BRA;1,00
08734;CHARM SLIP;1,00
08733;CHARM PROFUMO;1,00
08727;CHARM ABITINO;1,00
09856;CHARM GRUCCIA;1,00
09855;CHARM OCCHIALI;1,00
09655;CHARM KISS;1,00
09654;CHARM SOLITARIO;1,00
09920;CHARM OROLOGIO SUB;1,00
09925;CHARM STIVALETTO;1,00
09924;CHARM ZEPPA;1,00
09923;CHARM SANDALO;1,00
09922;CHARM SCARPA DECOLLETE';1,00
06476;CHARM CUORE;1,00
06926;CUORE MARTELLATO PICCOLO;1,00
06925;CUORE MARTELLATO MEDIO;1,00
06924;CUORE MARTELLATO GRANDE;1,00
09653;CHARM PACCO REGALO;1,00
07943;CORONA PICCOLA;1,00
09846;CHARM CORONA;1,00
09637;CHARM CUFFIE;1,00
10202;CHARM FIOCCO;1,00
09843;CHARM FIOCCO;1,00
09520;CHARM  FIOCCO;1,00
06576;CHARM CROCE;1,00
06575;CHARM STELLINA;1,00
10210;CHARM INFINITO;1,00
